Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
18;17167;"Public Administration Review";journal;"00333352, 15406210";4,120;Q1;115;103;419;4907;1275;238;4,65;47,64;United Kingdom;"Wiley-Blackwell";"1978-1983, 1985, 1988, 1996-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
19;16232;"British Journal of Political Science";journal;"00071234, 14692112";4,116;Q1;85;104;117;4735;356;74;4,72;45,53;United Kingdom;"Cambridge University Press";"1971-ongoing";"Sociology and Political Science (Q1)"
20;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";3,919;Q1;27;9;24;1280;216;22;9,67;142,22;United Kingdom;"Blackwell Publishing Inc.";"2008-ongoing";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
21;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";3,880;Q1;152;97;217;8861;1434;209;5,97;91,35;United States;"John Wiley & Sons Inc.";"1981-1982, 2019, 1984-ongoing";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
22;15298;"Structural Equation Modeling";journal;"15328007, 10705511";3,849;Q1;84;78;179;3584;740;176;3,46;45,95;United States;"Lawrence Erlbaum Associates Inc.";"1994-ongoing";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)"
23;26362;"Journal of Peace Research";journal;"00223433";3,695;Q1;86;59;174;3244;581;171;2,87;54,98;United States;"SAGE Publications";"1964-ongoing";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)"
24;21100835891;"Journal of Experimental Political Science";journal;"20522630, 20522649";3,404;Q1;10;23;54;539;163;51;1,32;23,43;United Kingdom;"Cambridge University Press";"2014-ongoing";"Sociology and Political Science (Q1)"
25;67863;"Party Politics";journal;"13540688";3,403;Q1;62;109;209;4386;673;194;3,14;40,24;United States;"SAGE Publications";"1995-ongoing";"Sociology and Political Science (Q1)"
26;22832;"Political Behavior";journal;"01909320, 15736687";3,356;Q1;59;110;125;4823;420;120;3,15;43,85;United States;"Kluwer Academic/Plenum Publishers";"1979-ongoing";"Sociology and Political Science (Q1)"
27;144974;"Journal of Service Research";journal;"10946705";3,340;Q1;105;33;89;2456;728;85;5,27;74,42;United States;"SAGE Publications";"1998-ongoing";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
28;21149;"Leadership Quarterly";journal;"10489843";3,187;Q1;132;60;179;7157;1113;167;7,17;119,28;United Kingdom;"Elsevier Ltd.";"1990-ongoing";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
29;18437;"European Journal of Political Research";journal;"03044130, 14756765";3,178;Q1;83;66;141;4301;565;139;4,00;65,17;United Kingdom;"Blackwell Publishing Inc.";"1973-ongoing";"Sociology and Political Science (Q1)"
30;22861;"Political Psychology";journal;"0162895X, 14679221";3,094;Q1;80;123;178;7737;812;176;4,20;62,90;United Kingdom;"Blackwell Publishing Inc.";"1996-ongoing";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
31;25848;"International Studies Quarterly";journal;"14682478, 00208833";3,091;Q1;88;67;212;5998;609;192;2,64;89,52;United Kingdom;"Oxford University Press";"1978, 1985, 1989-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
32;18091;"Sociological Methods and Research";journal;"00491241";3,035;Q1;65;76;103;2237;373;79;3,37;29,43;United States;"SAGE Publications";"1972-ongoing";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
33;20444;"Legislative Studies Quarterly";journal;"03629805";2,971;Q1;48;29;86;1553;170;79;2,07;53,55;United States;"Wiley-Blackwell";"1996-ongoing";"Sociology and Political Science (Q1)"
34;19877;"Journal of Democracy";journal;"10455736, 10863214";2,916;Q1;75;54;170;798;682;116;6,11;14,78;United States;"The Johns Hopkins University Press";"1996-ongoing";"Sociology and Political Science (Q1)"
35;17530;"Social Forces";journal;"15347605, 00377732";2,910;Q1;117;61;200;4364;660;193;2,53;71,54;United Kingdom;"Oxford University Press";"1974, 1977-ongoing";"Anthropology (Q1); History (Q1); Sociology and Political Science (Q1)"
36;27364;"Population and Development Review";journal;"17284457, 00987921";2,892;Q1;86;40;118;1734;371;95;2,89;43,35;United Kingdom;"Blackwell Publishing Inc.";"1976-ongoing";"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)"
37;25733;"Journal of Criminal Justice";journal;"00472352";2,853;Q1;64;84;170;4690;815;164;4,65;55,83;United Kingdom;"Elsevier Ltd.";"1973-ongoing";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
38;16306;"New Media and Society";journal;"14614448";2,844;Q1;87;266;350;14137;1922;337;5,74;53,15;United States;"SAGE Publications";"1999-ongoing";"Communication (Q1); Sociology and Political Science (Q1)"
39;22838;"Political Communication";journal;"10584609, 10917675";2,825;Q1;72;66;109;2386;410;89;4,59;36,15;United Kingdom;"Taylor & Francis";"1980-ongoing";"Communication (Q1); Sociology and Political Science (Q1)"
40;13892;"International Journal of Urban and Regional Research";journal;"03091317, 14682427";2,729;Q1;95;75;214;5250;824;203;3,47;70,00;United Kingdom;"Blackwell Publishing Inc.";"1977-ongoing";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
41;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";2,696;Q1;94;45;138;1572;448;124;3,79;34,93;United Kingdom;"Oxford University Press";"1937-1965, 1967-1975, 1977-ongoing";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
42;15821;"Journal of Policy Analysis and Management";journal;"02768739, 15206688";2,661;Q1;73;51;179;1744;429;129;2,61;34,20;United States;"John Wiley & Sons Inc.";"1981-ongoing";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
43;19878;"Journal of European Public Policy";journal;"14664429, 13501763";2,626;Q1;92;130;272;5904;1067;252;3,99;45,42;United Kingdom;"Routledge";"1994-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
44;28011;"Security Studies";journal;"09636412";2,565;Q1;41;27;82;2759;208;79;2,24;102,19;United Kingdom;"Frank Cass Publishers";"1991-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
45;26796;"Socio-Economic Review";journal;"14751461";2,401;Q1;45;30;126;2077;401;105;3,63;69,23;United Kingdom;"Oxford University Press";"2005-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)"
46;25772;"International Affairs";journal;"14682346, 00205850";2,398;Q1;71;60;190;4237;723;187;4,01;70,62;United Kingdom;"Oxford University Press";"1979-1986, 1988-1989, 1996-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
47;14925;"Gender and Society";journal;"08912432";2,384;Q1;89;32;106;1732;389;105;3,11;54,13;United States;"SAGE Publications";"1987-ongoing";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)"
48;20350;"Journal of Theoretical Politics";journal;"09516298";2,307;Q1;44;21;86;672;90;81;0,96;32,00;United States;"SAGE Publications";"1989-ongoing";"Sociology and Political Science (Q1)"
49;17560;"Social Problems";journal;"00377791";2,307;Q1;82;21;96;1388;317;92;2,83;66,10;United States;"Oxford University Press";"1973, 1975, 1977-1979, 1982, 1984, 1989-1990, 1993, 1995-ongoing";"Sociology and Political Science (Q1)"
50;17162;"Public Administration";journal;"14679299, 00333298";2,287;Q1;81;78;217;3932;731;212;2,72;50,41;United Kingdom;"Wiley-Blackwell";"1923-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
51;24592;"European Journal of International Relations";journal;"13540661";2,264;Q1;79;56;116;4195;391;116;3,15;74,91;United States;"SAGE Publications";"1995-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
52;30060;"World Development";journal;"0305750X";2,254;Q1;150;364;791;23949;3616;775;4,41;65,79;United Kingdom;"Elsevier Ltd.";"1973-ongoing";"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
53;10300153306;"International Journal of Press/Politics";journal;"19401612";2,248;Q1;54;25;73;1445;254;70;3,58;57,80;United States;"SAGE Publications";"2003, 2008-ongoing";"Communication (Q1); Sociology and Political Science (Q1)"
54;14427;"European Sociological Review";journal;"02667215, 14682672";2,240;Q1;75;49;160;2570;569;155;3,50;52,45;United Kingdom;"Oxford University Press";"1985-ongoing";"Sociology and Political Science (Q1)"
55;21100869398;"Work, Aging and Retirement";journal;"20544650";2,232;Q1;16;29;90;1940;350;88;3,14;66,90;United States;"Oxford University Press";"2015-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
56;21100364911;"Creativity Studies";journal;"23450487, 23450479";2,227;Q1;8;18;45;638;44;39;1,30;35,44;United Kingdom;"Taylor & Francis";"2014-ongoing";"Cultural Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
57;23464;"China Journal";journal;"13249347";2,214;Q1;43;13;42;644;100;40;2,50;49,54;Australia;"Contemporary China Centre";"1995-ongoing";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
58;19088;"Governance";journal;"09521895, 14680491";2,201;Q1;67;52;115;3002;412;94;3,79;57,73;United Kingdom;"Blackwell Publishing Inc.";"1988-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
59;15499;"Journal of Experimental Social Psychology";journal;"00221031, 10960465";2,165;Q1;125;158;343;9352;1203;329;3,65;59,19;United States;"Elsevier Inc.";"1965-ongoing";"Social Psychology (Q1); Sociology and Political Science (Q1)"
60;18400156711;"Cambridge Journal of Regions, Economy and Society";journal;"17521378";2,083;Q1;41;35;96;1991;548;87;3,52;56,89;United Kingdom;"Oxford University Press";"2008-ongoing";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
61;16051;"American Review of Public Administration";journal;"02750740";2,080;Q1;47;78;130;5214;426;129;3,06;66,85;United States;"SAGE Publications";"1967-1983, 1987-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
62;25987;"Social Networks";journal;"03788733";2,055;Q1;85;81;160;4773;612;158;3,44;58,93;Netherlands;"Elsevier BV";"1978-ongoing";"Anthropology (Q1); Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
63;28094;"Accounting, Organizations and Society";journal;"03613682";2,036;Q1;116;51;121;3693;460;118;3,41;72,41;United Kingdom;"Elsevier Ltd.";"1976-ongoing";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
64;28082;"South European Society and Politics";journal;"13608746";2,017;Q1;33;31;88;1838;303;85;3,34;59,29;United Kingdom;"Frank Cass Publishers";"1996-ongoing";"Sociology and Political Science (Q1)"
65;28122;"Perspectives on Sexual and Reproductive Health";journal;"15386341";2,008;Q1;83;25;134;729;283;80;3,84;29,16;United States;"Wiley-Blackwell";"1996-ongoing";"Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
66;19089;"Government and Opposition";journal;"0017257X, 14777053";1,996;Q1;41;62;64;2959;145;58;2,25;47,73;United Kingdom;"Cambridge University Press";"1965-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
67;28007;"Security Dialogue";journal;"09670106";1,962;Q1;58;32;97;2094;368;95;2,84;65,44;United States;"SAGE Publications";"1970-1972, 1976-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
68;13448;"Comparative Politics";journal;"00104159";1,953;Q1;58;31;76;1539;171;75;1,93;49,65;United States;"City University of New York";"1978, 1987-1989, 1996-ongoing";"Sociology and Political Science (Q1)"
69;77191;"Early Childhood Research Quarterly";journal;"08852006";1,952;Q1;83;113;209;7411;782;205;3,27;65,58;United Kingdom;"Elsevier Ltd.";"1986-1992, 1994-ongoing";"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)"
70;23439;"Politics and Society";journal;"00323292";1,952;Q1;62;24;67;915;198;66;2,98;38,13;United States;"SAGE Publications";"1970-1990, 1992-ongoing";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
71;26261;"Review of International Political Economy";journal;"09692290, 14664526";1,935;Q1;62;42;125;3957;463;113;3,61;94,21;United Kingdom;"Routledge";"1994-ongoing";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
72;22890;"Political Studies";journal;"00323217, 14679248";1,922;Q1;75;84;212;4492;569;197;2,27;53,48;United States;"SAGE Publications";"1953-ongoing";"Sociology and Political Science (Q1)"
73;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";1,853;Q1;57;57;159;4079;640;138;3,26;71,56;United States;"Elsevier Inc.";"1990-ongoing";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)"
74;19634;"Crime and Justice";journal;"01923234";1,840;Q1;36;10;45;1314;141;40;1,38;131,40;United States;"University of Chicago Press";"2004-ongoing";"Sociology and Political Science (Q1)"
75;19250;"Work and Occupations";journal;"07308884";1,805;Q1;58;18;46;1157;138;45;2,54;64,28;United States;"SAGE Publications";"1974-ongoing";"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
76;21100865122;"Research and Politics";journal;"20531680";1,802;Q1;11;58;151;1595;349;146;1,68;27,50;United Kingdom;"SAGE Publications Ltd";"2014-ongoing";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
77;25654;"Post-Soviet Affairs";journal;"1060586X";1,790;Q1;40;28;76;1522;234;72;2,92;54,36;United Kingdom;"Taylor & Francis";"1992-ongoing";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
78;35048;"Food Policy";journal;"03069192";1,782;Q1;85;120;290;6628;1298;288;4,15;55,23;United Kingdom;"Elsevier Ltd.";"1975-ongoing";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
79;14000156253;"Regulation and Governance";journal;"17485983, 17485991";1,774;Q1;35;64;82;4377;276;77;2,92;68,39;United Kingdom;"Blackwell Publishing Inc.";"2008-ongoing";"Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
80;18110;"Sociological Theory";journal;"07352751, 14679558";1,773;Q1;68;20;52;1771;138;51;2,66;88,55;United States;"SAGE Publications";"1996-ongoing";"Sociology and Political Science (Q1)"
81;22867;"Political Research Quarterly";journal;"10659129";1,768;Q1;69;110;214;6421;382;199;1,89;58,37;United States;"SAGE Publications";"1948, 1950-1952, 1954-1955, 1957-1967, 1969-1977, 1979-1986, 1988-ongoing";"Sociology and Political Science (Q1)"
82;23715;"Science Technology and Human Values";journal;"01622439";1,714;Q1;63;58;132;2981;433;123;3,56;51,40;United States;"SAGE Publications";"1976-ongoing";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
83;22786;"Policy Studies Journal";journal;"0190292X, 15410072";1,706;Q1;57;78;105;4871;364;88;4,06;62,45;United Kingdom;"Blackwell Publishing Inc.";"1972-ongoing";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
84;5600155551;"International Political Sociology";journal;"17495687, 17495679";1,676;Q1;34;32;78;2389;190;74;1,87;74,66;United Kingdom;"Oxford University Press";"2008-ongoing";"Sociology and Political Science (Q1)"
85;24519;"Environmental Politics";journal;"09644016";1,674;Q1;61;77;167;3862;617;161;4,18;50,16;United Kingdom;"Frank Cass Publishers";"1992-ongoing";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1)"
86;22857;"Political Geography";journal;"09626298";1,659;Q1;86;111;241;7640;781;197;3,51;68,83;United Kingdom;"Elsevier Ltd.";"1983, 1992-ongoing";"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)"
87;15559;"American Politics Research";journal;"1532673X";1,648;Q1;45;72;120;3140;175;118;1,42;43,61;United States;"SAGE Publications";"1973-ongoing";"Sociology and Political Science (Q1)"
88;19251;"Work, Employment and Society";journal;"09500170";1,644;Q1;69;77;178;3330;557;167;2,87;43,25;United States;"SAGE Publications";"1987-ongoing";"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
89;27944;"Review of International Studies";journal;"14699044, 02602105";1,607;Q1;64;49;145;3546;339;135;2,01;72,37;United Kingdom;"Cambridge University Press";"1976, 1981-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
90;28611;"Geoforum";journal;"00167185";1,601;Q1;98;276;683;17927;2247;632;3,27;64,95;United Kingdom;"Elsevier Ltd.";"1970-ongoing";"Sociology and Political Science (Q1)"
91;15039;"African Affairs";journal;"00019909, 14682621";1,597;Q1;60;35;103;1708;276;94;2,63;48,80;United Kingdom;"Oxford University Press";"1901-ongoing";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
92;5900153310;"Mobilities";journal;"17450101, 1745011X";1,581;Q1;43;65;146;4353;485;144;3,17;66,97;United Kingdom;"Routledge";"2006-ongoing";"Demography (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
93;17493;"Internet Research";journal;"10662243";1,512;Q1;71;61;159;5560;937;159;5,11;91,15;United Kingdom;"Emerald Group Publishing Ltd.";"1995-ongoing";"Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)"
94;13854;"Housing Studies";journal;"14661810, 02673037";1,511;Q1;64;111;174;5493;412;162;2,27;49,49;United Kingdom;"Carfax Publishing Ltd.";"1986-ongoing";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
95;21100264650;"European Political Science Review";journal;"17557739, 17557747";1,510;Q1;26;31;76;1885;170;72;1,79;60,81;United Kingdom;"Cambridge University Press";"2009-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
96;18130;"Sociology";journal;"00380385";1,497;Q1;96;82;228;3509;746;210;3,41;42,79;United States;"SAGE Publications";"1967-ongoing";"Sociology and Political Science (Q1)"
97;144821;"Language Policy";journal;"15731863, 15684555";1,494;Q1;28;39;65;2095;129;59;1,42;53,72;Netherlands;"Kluwer Academic Publishers";"2004-ongoing";"Language and Linguistics (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1)"
98;29849;"Journal of Accounting and Public Policy";journal;"02784254";1,481;Q1;64;32;83;2005;273;79;2,69;62,66;Netherlands;"Elsevier BV";"1982-ongoing";"Accounting (Q1); Sociology and Political Science (Q1)"
99;21100840031;"Critical Military Studies";journal;"23337486, 23337494";1,475;Q1;8;42;83;1570;115;55;1,54;37,38;United Kingdom;"Taylor and Francis Ltd.";"2015-ongoing";"History (Q1); Law (Q1); Management Science and Operations Research (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
100;12104;"British Journal of Sociology of Education";journal;"14653346, 01425692";1,466;Q1;64;81;222;3399;540;214;2,59;41,96;United Kingdom;"Carfax Publishing Ltd.";"1980-ongoing";"Education (Q1); Sociology and Political Science (Q1)"
101;16956;"Cities";journal;"02642751";1,440;Q1;71;278;479;16801;2118;465;4,54;60,44;United Kingdom;"Elsevier Ltd.";"1983-ongoing";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)"
102;5400152621;"Sustainability Science";journal;"18624065, 18624057";1,433;Q1;42;149;218;9421;958;178;4,83;63,23;Germany;"Springer Verlag";"2007-ongoing";"Ecology (Q1); Geography, Planning and Development (Q1); Health (social science) (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Sociology and Political Science (Q1); Global and Planetary Change (Q2)"
103;14946;"Group Processes and Intergroup Relations";journal;"13684302";1,425;Q1;63;104;157;5153;422;153;2,79;49,55;United States;"SAGE Publications";"1998-ongoing";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
104;15673;"Journal of Rural Studies";journal;"07430167";1,415;Q1;88;196;461;13992;1708;447;3,70;71,39;United Kingdom;"Elsevier Ltd.";"1985-ongoing";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
105;29643;"Urban Affairs Review";journal;"10780874";1,414;Q1;63;74;123;3142;268;104;2,34;42,46;United States;"SAGE Publications";"1965-ongoing";"Sociology and Political Science (Q1); Urban Studies (Q1)"
106;14735;"Government Information Quarterly";journal;"0740624X";1,408;Q1;84;55;186;3850;1272;170;6,43;70,00;United Kingdom;"Elsevier Ltd.";"1984-ongoing";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)"
107;18106;"Sociological Review";journal;"1467954X, 00380261";1,399;Q1;73;87;208;4151;540;192;2,52;47,71;United Kingdom;"SAGE Publications Inc.";"1908-ongoing";"Sociology and Political Science (Q1)"
108;22222;"Parliamentary Affairs";journal;"14602482, 00312290";1,362;Q1;39;65;147;2360;272;141;2,21;36,31;United Kingdom;"Oxford University Press";"1947-1974, 1976-1979, 1981-ongoing";"Law (Q1); Sociology and Political Science (Q1)"
109;17497;"British Journal of Sociology";journal;"00071315, 14684446";1,345;Q1;81;82;128;4477;389;123;3,13;54,60;United Kingdom;"Blackwell Publishing Inc.";"1965-1977, 1979-1984, 1987-ongoing";"Sociology and Political Science (Q1)"
110;22223;"Forest Policy and Economics";journal;"13899341";1,329;Q1;60;164;473;9339;1448;438;3,19;56,95;Netherlands;"Elsevier BV";"2000-ongoing";"Economics and Econometrics (Q1); Forestry (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
111;17508;"Social Development";journal;"14679507, 0961205X";1,308;Q1;81;90;157;4978;413;157;2,09;55,31;United Kingdom;"Blackwell Publishing Inc.";"1992-ongoing";"Developmental and Educational Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
112;27446;"Youth and Society";journal;"0044118X";1,307;Q1;56;89;120;3404;330;120;2,48;38,25;United States;"SAGE Publications";"1969-ongoing";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
113;19700181316;"Journal of Public Relations Research";journal;"1062726X";1,304;Q1;31;17;68;1115;147;56;2,77;65,59;United States;"Lawrence Erlbaum Associates Inc.";"1992-1995, 2009-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
