Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
28;19664;"Criminal Justice and Behavior";journal;"00938548";1,679;Q1;85;102;239;6680;665;235;2,54;65,49;United States;"SAGE Publications";"1974-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1); Psychology (miscellaneous) (Q1)"
29;5700164300;"Youth Violence and Juvenile Justice";journal;"15412040";1,675;Q1;39;34;75;2403;233;75;2,70;70,68;United States;"SAGE Publications";"2003-ongoing";"Developmental and Educational Psychology (Q1); Health (social science) (Q1); Law (Q1)"
30;25666;"Common Market Law Review";journal;"01650750";1,606;Q1;43;65;174;1849;315;156;1,89;28,45;Netherlands;"Kluwer Law International";"1996-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
31;20436;"Texas Law Review";journal;"00404411";1,559;Q1;43;20;107;1490;129;88;1,44;74,50;United States;"University of Texas at Austin";"1977, 1981-1982, 1987, 1990, 1992, 1994, 1996-ongoing";"Law (Q1)"
32;20838;"Transport Policy";journal;"0967070X";1,520;Q1;77;201;382;8589;1448;366;3,77;42,73;United Kingdom;"Elsevier Ltd.";"1993-ongoing";"Geography, Planning and Development (Q1); Law (Q1); Transportation (Q1)"
33;24716;"Antitrust Law Journal";journal;"00036056";1,493;Q1;32;0;19;0;36;18;1,83;0,00;United States;"American Bar Association";"1996-ongoing";"Law (Q1)"
34;19532;"Accident Analysis and Prevention";journal;"00014575";1,481;Q1;125;344;1011;14884;3796;981;3,58;43,27;United Kingdom;"Elsevier Ltd.";"1969-ongoing";"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1)"
35;21100840031;"Critical Military Studies";journal;"23337486, 23337494";1,475;Q1;8;42;83;1570;115;55;1,54;37,38;United Kingdom;"Taylor and Francis Ltd.";"2015-ongoing";"History (Q1); Law (Q1); Management Science and Operations Research (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
36;22810;"British Journal of Criminology";journal;"00070955, 14643529";1,422;Q1;82;73;187;4479;661;185;3,68;61,36;United Kingdom;"Oxford University Press";"1960-ongoing";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Pathology and Forensic Medicine (Q1); Social Psychology (Q1)"
37;18916;"Social Science Computer Review";journal;"08944393";1,421;Q1;60;102;140;4136;572;135;3,98;40,55;United States;"SAGE Publications";"1983-ongoing";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)"
38;14735;"Government Information Quarterly";journal;"0740624X";1,408;Q1;84;55;186;3850;1272;170;6,43;70,00;United Kingdom;"Elsevier Ltd.";"1984-ongoing";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)"
39;15184;"Duke Law Journal";journal;"19399111, 00127086";1,368;Q1;39;33;107;2887;130;100;1,01;87,48;United States;"Duke University Press";"1978, 1980-1981, 1983-1986, 1988-1994, 1996-ongoing";"Law (Q1)"
40;22222;"Parliamentary Affairs";journal;"14602482, 00312290";1,362;Q1;39;65;147;2360;272;141;2,21;36,31;United Kingdom;"Oxford University Press";"1947-1974, 1976-1979, 1981-ongoing";"Law (Q1); Sociology and Political Science (Q1)"
41;21100790525;"European Competition Journal";journal;"17441056, 17578396";1,326;Q1;6;19;53;532;33;53;0,63;28,00;United Kingdom;"Taylor and Francis Ltd.";"2005, 2015-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q1); Law (Q1)"
42;21100774809;"Crime Science";journal;"21937680";1,323;Q1;10;21;60;823;149;55;2,90;39,19;United Kingdom;"Springer Open";"2013, 2015-ongoing";"Cultural Studies (Q1); Law (Q1); Urban Studies (Q1)"
43;12100156325;"Journal of Intervention and Statebuilding";journal;"17502977";1,318;Q1;10;38;84;2298;162;78;1,77;60,47;United Kingdom;"Routledge";"2015-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
44;130084;"Journal of Contemporary Criminal Justice";journal;"10439862";1,298;Q1;40;27;72;1415;155;67;1,49;52,41;United States;"SAGE Publications";"1978-1981, 1983-1984, 1987-ongoing";"Law (Q1)"
45;26299;"Harvard International Law Journal";journal;"00178063";1,264;Q1;36;10;30;966;51;29;1,29;96,60;United States;"Harvard University";"1979, 1992, 1996-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
46;14316;"Harvard Law Review";journal;"0017811X";1,264;Q1;73;67;336;4123;245;203;1,40;61,54;United States;"Harvard Law Review Association";"1973-ongoing";"Law (Q1)"
47;27851;"Marine Policy";journal;"0308597X";1,242;Q1;79;413;998;22989;3051;980;3,04;55,66;United Kingdom;"Elsevier Ltd.";"1977-ongoing";"Aquatic Science (Q1); Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1)"
48;14045;"Psychology, Public Policy, and Law";journal;"10768971";1,241;Q1;57;43;115;2760;273;113;2,59;64,19;United States;"American Psychological Association";"1995-ongoing";"Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
49;21058;"UCLA Law Review";journal;"00415650";1,228;Q1;39;37;90;3347;98;90;0,83;90,46;United States;"University of California at Los Angeles";"1968, 1976, 1978, 1980-1983, 1986, 1989, 1991-ongoing";"Law (Q1)"
50;19900191537;"International Theory: A Journal of International Politics, Law and Philosophy";journal;"17529719";1,216;Q1;23;16;56;1559;125;56;1,75;97,44;United Kingdom;"Cambridge University Press";"2009-ongoing";"Law (Q1); Philosophy (Q1); Political Science and International Relations (Q1)"
51;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";1,213;Q1;15;10;32;681;128;32;4,09;68,10;Spain;"Elsevier Espana";"2009-ongoing";"Applied Psychology (Q1); Law (Q1)"
52;21100259111;"Journal of Legal Analysis";journal;"21617201, 19465319";1,209;Q1;9;0;31;0;49;30;1,83;0,00;United States;"Oxford University Press";"2013-ongoing";"Law (Q1)"
53;22068;"Vanderbilt Law Review";journal;"00422533";1,207;Q1;39;46;126;6030;121;125;0,80;131,09;United States;"Vanderbilt University";"1973-1976, 1978-1979, 1986-1987, 1989-1990, 1992-1993, 1995-ongoing";"Law (Q1)"
54;20896;"Telematics and Informatics";journal;"07365853";1,206;Q1;48;177;369;11740;1698;322;5,50;66,33;Netherlands;"Elsevier BV";"1984-1985, 1987, 1989-1990, 1993-ongoing";"Communication (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)"
55;5600157637;"European Journal of Criminology";journal;"14773708";1,203;Q1;44;78;129;3805;316;125;2,58;48,78;United States;"SAGE Publications";"2004-ongoing";"Law (Q1)"
56;110031;"Resources Policy";journal;"03014207";1,170;Q1;57;215;347;9269;1412;341;3,89;43,11;United Kingdom;"Elsevier Ltd.";"1974-ongoing";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
57;21100797723;"World Competition";journal;"18758436, 10114548";1,158;Q1;4;19;52;831;19;45;0,42;43,74;Netherlands;"Kluwer Law International";"2016-ongoing";"Economics and Econometrics (Q1); Law (Q1)"
58;21100814045;"Journal of Human Rights and the Environment";journal;"17597188, 17597196";1,131;Q1;5;11;25;475;39;21;1,86;43,18;United Kingdom;"Edward Elgar Publishing Ltd.";"2016-ongoing";"Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
59;5700160617;"Criminal Justice Policy Review";journal;"08874034";1,121;Q1;28;72;117;3522;193;113;1,83;48,92;United States;"SAGE Publications";"1986-1987, 1989-1992, 1995, 1997-1999, 2004-ongoing";"Law (Q1)"
60;147233;"Punishment and Society";journal;"14624745";1,114;Q1;51;44;80;2472;192;77;2,49;56,18;United States;"SAGE Publications";"1999-ongoing";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
61;13822;"Cornell Law Review";journal;"00108847";1,102;Q1;41;31;86;3127;102;86;1,12;100,87;United States;"Cornell University Press";"1975-1981, 1984-1986, 1988-ongoing";"Law (Q1)"
62;18575;"Notre Dame Law Review";journal;"07453515";1,101;Q1;30;60;169;4601;120;169;0,67;76,68;United States;"Joe Christensen, Inc.";"1984, 1986, 1989-1990, 1992-1993, 1995-ongoing";"Law (Q1)"
63;26836;"Journal of International Economic Law";journal;"14643758, 13693034";1,099;Q1;44;36;119;1156;145;113;1,00;32,11;United Kingdom;"Oxford University Press";"1998-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q1); Law (Q1)"
64;20532;"Journal of Air Transport Management";journal;"09696997";1,090;Q1;60;135;358;6418;1155;351;2,91;47,54;United Kingdom;"Elsevier Ltd.";"1994-1995, 1997-ongoing";"Law (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1); Transportation (Q2)"
65;5600156029;"The Journal of Legislative Studies";journal;"13572334, 17439337";1,083;Q1;16;31;88;1209;110;85;0,80;39,00;United Kingdom;"Routledge";"1995, 2010-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
66;21539;"Harvard Civil Rights-Civil Liberties Law Review";journal;"00178039";1,075;Q1;24;7;36;138;26;36;0,61;19,71;United States;"Harvard University, Law School, Publication Center";"1973, 1975, 1981-1982, 1984, 1988, 1991-1992, 1996-ongoing";"Law (Q1)"
67;16673;"Minnesota Law Review";journal;"00265535";1,068;Q1;34;46;139;4106;133;136;0,87;89,26;United States;"University of Minnesota";"1976-1977, 1979, 1991, 1994, 1996-ongoing";"Law (Q1)"
68;17591;"Law and Society Review";journal;"00239216, 15405893";1,061;Q1;65;43;101;2872;176;83;1,76;66,79;United Kingdom;"Blackwell Publishing Inc.";"1977-1979, 1983, 1985, 1987, 1996-ongoing";"Law (Q1); Sociology and Political Science (Q1)"
69;19400158595;"World Trade Review";journal;"14747456, 14753138";1,043;Q1;27;46;103;1310;100;100;0,76;28,48;United Kingdom;"Cambridge University Press";"2002-ongoing";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)"
70;22087;"Theoretical Criminology";journal;"13624806";1,040;Q1;63;56;90;2890;236;82;2,44;51,61;United States;"SAGE Publications";"1997-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1); Sociology and Political Science (Q1)"
71;23369;"Journal of Environmental Law";journal;"1464374X, 09528873";1,032;Q1;25;24;73;1272;136;73;1,88;53,00;United Kingdom;"Oxford University Press";"1989-ongoing";"Law (Q1); Management, Monitoring, Policy and Law (Q1)"
72;145595;"American Law and Economics Review";journal;"14657252";1,014;Q1;29;13;47;547;47;45;0,79;42,08;United Kingdom;"Oxford University Press";"2005-ongoing";"Finance (Q1); Law (Q1)"
73;145598;"European Journal of International Law";journal;"09385428";1,014;Q1;52;49;173;2712;186;155;1,09;55,35;United Kingdom;"Oxford University Press";"2005-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
74;19676;"Southern California Law Review";journal;"00383910";0,976;Q1;30;24;99;2617;88;99;0,84;109,04;United States;"University of Southern California";"1973-1979, 1981-1982, 1985-1988, 1991-1992, 1996-ongoing";"Law (Q1)"
75;25671;"Washington Quarterly";journal;"15309177, 0163660X";0,959;Q1;42;37;122;1927;157;121;1,05;52,08;United Kingdom;"Taylor & Francis";"1978-ongoing";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
76;21541;"Policing";journal;"1363951X";0,937;Q1;40;72;151;3726;263;148;1,70;51,75;United Kingdom;"Emerald Group Publishing Ltd.";"1997-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1); Public Administration (Q1)"
77;27253;"Supreme Court Review";journal;"00819557";0,931;Q1;13;10;25;1173;16;25;0,67;117,30;United States;"University of Chicago Press";"1992, 1997, 1999-2003, 2005-2011, 2013, 2015-ongoing";"Law (Q1)"
78;19786;"Utilities Policy";journal;"09571787";0,927;Q1;42;89;218;4518;588;210;2,75;50,76;United Kingdom;"Elsevier Ltd.";"1990-1995, 1997-2001, 2003-ongoing";"Business and International Management (Q1); Development (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
79;22743;"International Environmental Agreements: Politics, Law and Economics";journal;"15679764, 15731553";0,925;Q1;30;50;127;2798;282;112;2,52;55,96;Netherlands;"Kluwer Academic Publishers";"2004-ongoing";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)"
80;21100236217;"Review of European, Comparative and International Environmental Law";journal;"20500386, 20500394";0,904;Q1;13;37;94;943;157;85;2,33;25,49;United Kingdom;"John Wiley and Sons Ltd";"2013-ongoing";"Geography, Planning and Development (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q2)"
81;18777;"Violence Against Women";journal;"10778012";0,903;Q1;83;130;254;6894;602;248;1,93;53,03;United States;"SAGE Publications";"1995-ongoing";"Gender Studies (Q1); Law (Q1); Sociology and Political Science (Q1)"
82;21100817648;"Race and Justice";journal;"21533687";0,897;Q1;10;40;54;1914;61;48;1,19;47,85;United States;"SAGE Publications";"2011, 2014-ongoing";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q1)"
83;21100465147;"Election Law Journal: Rules, Politics, and Policy";journal;"15578062, 15331296";0,895;Q1;4;22;58;969;43;55;0,78;44,05;United States;"Mary Ann Liebert Inc.";"2016-ongoing";"Law (Q1)"
84;18553;"Northwestern University Law Review";journal;"00293571";0,881;Q1;39;38;119;2904;70;105;0,71;76,42;United States;"Northwestern University";"1973, 1977, 1981, 1989-1990, 1992-ongoing";"Law (Q1)"
85;144927;"Child Abuse Review";journal;"09529136";0,879;Q1;37;39;124;1192;213;100;1,26;30,56;United Kingdom;"John Wiley & Sons Ltd.";"1992-1995, 2005-ongoing";"Law (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)"
86;5600153974;"Policing and Society";journal;"10439463";0,868;Q1;21;113;170;5148;292;142;1,86;45,56;United Kingdom;"Routledge";"1990-1995, 2009-ongoing";"Law (Q1); Sociology and Political Science (Q1)"
87;21100870677;"Crime Psychology Review";journal;"23744014";0,867;Q1;5;4;18;512;37;16;1,13;128,00;United Kingdom;"Taylor and Francis Ltd.";"2015-ongoing";"Law (Q1); Applied Psychology (Q2)"
88;15685;"Iowa Law Review";journal;"00210552";0,863;Q1;29;56;166;4582;127;166;0,79;81,82;United States;"University of Iowa";"1976, 1979-1980, 1982, 1985, 1987, 1989-1992, 1995-ongoing";"Law (Q1)"
89;14293;"Deviant Behavior";journal;"15210456, 01639625";0,858;Q1;48;202;253;8682;446;251;1,69;42,98;United Kingdom;"Taylor & Francis";"1979-ongoing";"Clinical Psychology (Q1); Law (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)"
90;19900188955;"PoLAR: Political and Legal Anthropology Review";journal;"10816976, 15552934";0,857;Q1;23;33;81;1392;58;72;0,84;42,18;Germany;"Wiley - VCH Verlag GmbH &Co. KGaA";"1973-1974, 1977-1995, 2011-ongoing";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q1)"
91;4700152205;"Criminology and Criminal Justice";journal;"17488966, 17488958";0,851;Q1;37;72;102;3550;239;99;2,20;49,31;United Kingdom;"SAGE Publications";"2002-2003, 2006-ongoing";"Law (Q1)"
92;144977;"Homicide Studies";journal;"10887679";0,851;Q1;42;27;48;1441;86;47;1,48;53,37;United States;"SAGE Publications";"1997-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1); Psychology (miscellaneous) (Q2)"
93;29156;"Boston University Law Review";journal;"00068047";0,847;Q1;27;27;144;3235;87;138;0,55;119,81;United States;"Boston University, School of Law";"1973-1977, 1987, 1989-1990, 1992, 1994, 1996-ongoing";"Law (Q1)"
94;20357;"Journal of Criminal Law and Criminology";journal;"00914169";0,837;Q1;42;16;71;1709;75;67;1,02;106,81;United States;"Williams & Wilkins Co.";"1974-1985, 1987, 1991, 1996-ongoing";"Law (Q1)"
95;17800156703;"Journal of Empirical Research on Human Research Ethics";journal;"15562646";0,833;Q1;23;61;142;1867;202;134;1,28;30,61;United States;"SAGE Publications Inc.";"2009-ongoing";"Communication (Q1); Education (Q1); Law (Q1); Medicine (miscellaneous) (Q2); Social Psychology (Q2)"
96;14300;"Harvard Journal of Law and Public Policy";journal;"01934872";0,816;Q1;24;44;76;4418;35;75;0,30;100,41;United States;"Harvard Society for Law and Public Policy, Inc.";"1980, 1985, 1990, 1995-ongoing";"Law (Q1); Sociology and Political Science (Q1)"
97;100147033;"Journal of Competition Law and Economics";journal;"17446422, 17446414";0,810;Q1;21;18;97;554;78;96;0,62;30,78;United Kingdom;"Oxford University Press";"2005-ongoing";"Law (Q1); Economics and Econometrics (Q2)"
98;25050;"American Journal of International Law";journal;"00029300";0,796;Q1;66;76;139;1183;169;125;1,13;15,57;United States;"Cambridge University Press";"1979, 1984, 1987, 1996-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
99;6500153248;"Victims and Offenders";journal;"15564886, 15564991";0,785;Q1;24;62;92;3765;150;88;1,78;60,73;United Kingdom;"Routledge";"2006-ongoing";"Health (social science) (Q1); Law (Q1); Applied Psychology (Q2); Pathology and Forensic Medicine (Q2)"
100;21100217634;"Journal of Empirical Legal Studies";journal;"17401453, 17401461";0,775;Q1;18;30;86;1468;98;80;1,13;48,93;United Kingdom;"Blackwell Publishing";"2011-ongoing";"Education (Q1); Law (Q1)"
101;14027;"Psychology, Crime and Law";journal;"1068316X";0,771;Q1;52;70;175;3870;326;174;1,61;55,29;United States;"Brunner - Routledge (US)";"1994-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q2); Psychology (miscellaneous) (Q2)"
102;26842;"Journal of World Trade";journal;"10116702";0,757;Q1;29;42;129;1421;92;120;0,73;33,83;Netherlands;"Kluwer Law International";"1996-ongoing";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)"
103;5700162193;"Leiden Journal of International Law";journal;"09221565, 14789698";0,744;Q1;30;50;150;1043;118;147;0,86;20,86;United Kingdom;"Cambridge University Press";"1988-ongoing";"Law (Q1); Political Science and International Relations (Q1)"
104;100147035;"Criminal Justice Review";journal;"07340168";0,742;Q1;29;36;78;2157;108;74;1,02;59,92;United States;"SAGE Publications";"1976-ongoing";"Law (Q1)"
105;19700188322;"Journal of Human Rights";journal;"14754835";0,739;Q1;15;43;87;2672;117;81;1,09;62,14;United Kingdom;"Carfax Publishers";"2010-ongoing";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
106;5600153394;"International Criminal Justice Review";journal;"10575677";0,738;Q1;19;42;51;2204;97;50;1,36;52,48;United States;"SAGE Publications";"1991-2003, 2005-ongoing";"Law (Q1)"
107;145137;"Critical Criminology";journal;"12058629";0,737;Q1;22;41;92;2591;127;88;1,49;63,20;Netherlands;"Springer Netherlands";"1996-1997, 2000-2002, 2005-ongoing";"Law (Q1); Sociology and Political Science (Q1)"
108;13583;"George Washington Law Review";journal;"00168076";0,736;Q1;24;34;158;2797;78;157;0,52;82,26;United States;"National Law Center of the George Washington University";"1976, 1978, 1980, 1982-1983, 1989, 1992-1994, 1996-ongoing";"Law (Q1)"
109;16151;"Medical Law Review";journal;"14643790, 09670742";0,723;Q1;25;32;91;1107;122;71;1,86;34,59;United Kingdom;"Oxford University Press";"1993-ongoing";"Law (Q1); Medicine (miscellaneous) (Q2)"
110;21100269613;"Transnational Environmental Law";journal;"20471033, 20471025";0,708;Q1;13;33;50;1260;82;46;1,47;38,18;United Kingdom;"Cambridge University Press";"2012-ongoing";"Law (Q1); Management, Monitoring, Policy and Law (Q2)"
111;17585;"Law and Social Inquiry";journal;"1545696X, 08976546";0,695;Q1;42;66;147;5793;161;143;0,92;87,77;United States;"Wiley-Blackwell";"1976-ongoing";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
112;21100298645;"Journal of Crime and Justice";journal;"21589119, 0735648X";0,691;Q1;10;48;98;3072;130;95;1,32;64,00;United Kingdom;"Taylor and Francis Ltd.";"1984-1995, 2013-ongoing";"Law (Q1)"
113;25818;"International Journal of Refugee Law";journal;"14643715, 09538186";0,688;Q1;30;29;87;767;80;74;0,98;26,45;United Kingdom;"Oxford University Press";"1989-ongoing";"Demography (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q2)"
114;21100238638;"Global Policy";journal;"17585899, 17585880";0,680;Q1;27;98;318;4237;402;280;1,23;43,23;United Kingdom;"John Wiley and Sons Ltd";"2010-ongoing";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Global and Planetary Change (Q3)"
115;28898;"Computers and Security";journal;"01674048";0,667;Q1;77;213;349;11230;1607;342;4,34;52,72;United Kingdom;"Elsevier Ltd.";"1982-ongoing";"Computer Science (miscellaneous) (Q1); Law (Q1)"
116;28802;"Electricity Journal";journal;"10406190";0,665;Q1;40;101;299;1752;373;254;1,47;17,35;Netherlands;"Elsevier BV";"1988-ongoing";"Business and International Management (Q1); Law (Q1); Energy (miscellaneous) (Q2); Management of Technology and Innovation (Q2)"
