Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
11;19089;"Government and Opposition";journal;"0017257X, 14777053";1,996;Q1;41;62;64;2959;145;58;2,25;47,73;United Kingdom;"Cambridge University Press";"1965-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
12;19725;"Educational Administration Quarterly";journal;"0013161X";1,993;Q1;65;38;73;2933;233;70;3,28;77,18;United States;"SAGE Publications";"1965-ongoing";"Education (Q1); Public Administration (Q1)"
13;5600155055;"Review of Public Personnel Administration";journal;"0734371X";1,980;Q1;34;42;57;2445;183;55;3,19;58,21;United States;"Sage Publications";"1980-ongoing";"Organizational Behavior and Human Resource Management (Q1); Public Administration (Q1)"
14;21100865122;"Research and Politics";journal;"20531680";1,802;Q1;11;58;151;1595;349;146;1,68;27,50;United Kingdom;"SAGE Publications Ltd";"2014-ongoing";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
15;14000156253;"Regulation and Governance";journal;"17485983, 17485991";1,774;Q1;35;64;82;4377;276;77;2,92;68,39;United Kingdom;"Blackwell Publishing Inc.";"2008-ongoing";"Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
16;22786;"Policy Studies Journal";journal;"0190292X, 15410072";1,706;Q1;57;78;105;4871;364;88;4,06;62,45;United Kingdom;"Blackwell Publishing Inc.";"1972-ongoing";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
17;14026;"Human Resources for Health";journal;"14784491";1,377;Q1;52;69;270;2971;743;260;2,46;43,06;United Kingdom;"BioMed Central";"2003-ongoing";"Public Administration (Q1); Public Health, Environmental and Occupational Health (Q1)"
18;5800169457;"Public Performance & Management Review";journal;"15309576";1,346;Q1;17;64;93;4222;220;88;2,19;65,97;United Kingdom;"Taylor & Francis";"2011-ongoing";"Public Administration (Q1); Strategy and Management (Q1)"
19;19700181316;"Journal of Public Relations Research";journal;"1062726X";1,304;Q1;31;17;68;1115;147;56;2,77;65,59;United States;"Lawrence Erlbaum Associates Inc.";"1992-1995, 2009-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
20;130100;"Journal of Educational Administration";journal;"09578234";1,212;Q1;50;39;113;2267;246;112;1,63;58,13;United Kingdom;"Emerald Group Publishing Ltd.";"1963-ongoing";"Education (Q1); Public Administration (Q1)"
21;19700170417;"Journal of Information Technology and Politics";journal;"19331681, 1933169X";1,142;Q1;35;24;72;1445;177;70;2,51;60,21;United States;"Routledge";"2008-ongoing";"Computer Science (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
22;21100826425;"Environment and Planning C: Politics and Space";journal;"23996552, 23996544";1,113;Q1;60;117;271;8232;709;254;2,75;70,36;United Kingdom;"SAGE Publications Ltd";"2017-ongoing";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1)"
23;27691;"Journal of Public Policy";journal;"14697815, 0143814X";1,082;Q1;43;53;55;2050;113;54;1,88;38,68;United Kingdom;"Cambridge University Press";"1981-ongoing";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1)"
24;12282;"Journal of Social Policy";journal;"14697823, 00472794";1,072;Q1;57;64;95;2149;271;92;2,76;33,58;United Kingdom;"Cambridge University Press";"1976, 1978-1984, 1986-ongoing";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)"
25;22773;"Policy Sciences";journal;"00322687, 15730891";1,045;Q1;49;34;92;2502;260;87;2,84;73,59;Netherlands;"Kluwer Academic Publishers";"1970-ongoing";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
26;22762;"Policy and Politics";journal;"03055736, 14708442";0,988;Q1;45;36;102;2214;270;100;2,70;61,50;United Kingdom;"The Policy Press";"1979-ongoing";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
27;16032;"Administration and Society";journal;"00953997";0,973;Q1;52;87;157;4131;382;148;2,11;47,48;United States;"SAGE Publications";"1969-ongoing";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
28;21541;"Policing";journal;"1363951X";0,937;Q1;40;72;151;3726;263;148;1,70;51,75;United Kingdom;"Emerald Group Publishing Ltd.";"1997-ongoing";"Law (Q1); Pathology and Forensic Medicine (Q1); Public Administration (Q1)"
29;23577;"Publius";journal;"00485950";0,897;Q1;35;26;83;1631;155;81;1,72;62,73;United Kingdom;"Oxford University Press";"1971-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
30;19491;"Journal of Higher Education Policy and Management";journal;"14699508, 1360080X";0,808;Q1;36;45;162;1865;247;138;1,84;41,44;United Kingdom;"Carfax Publishing Ltd.";"2003-ongoing";"Education (Q1); Public Administration (Q1)"
31;15807;"International Review of Administrative Sciences";journal;"00208523";0,806;Q1;45;82;153;2706;353;134;2,78;33,00;United States;"SAGE Publications";"1957-ongoing";"Public Administration (Q1); Sociology and Political Science (Q1)"
32;4700152795;"Journal of Library Administration";journal;"01930826";0,800;Q1;26;56;188;1173;168;187;0,87;20,95;United States;"Haworth Press Inc.";"1980-ongoing";"Library and Information Sciences (Q1); Public Administration (Q1)"
33;19900191349;"Critical Policy Studies";journal;"19460171, 1946018X";0,756;Q2;20;51;104;1846;173;87;2,20;36,20;United Kingdom;"Routledge";"2010-ongoing";"Sociology and Political Science (Q1); Public Administration (Q2)"
34;5700168564;"Policy and Society";journal;"14494035";0,731;Q2;26;21;87;1552;219;84;2,38;73,90;United Kingdom;"Elsevier Ltd";"2002-2003, 2008-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Public Administration (Q2)"
35;5700162683;"Globalizations";journal;"14747731";0,721;Q2;31;81;232;4309;413;206;1,86;53,20;United States;"Taylor and Francis Ltd.";"2004-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
36;5600157642;"Public Policy and Administration";journal;"09520767, 17494192";0,705;Q2;31;43;51;1827;116;49;1,84;42,49;United States;"SAGE Publications";"1986-ongoing";"Sociology and Political Science (Q1); Public Administration (Q2)"
37;19700188160;"Journal of Comparative Policy Analysis: Research and Practice";journal;"13876988, 15725448";0,698;Q2;17;43;106;1885;196;88;2,11;43,84;United States;"Routledge";"2010-ongoing";"Sociology and Political Science (Q1); Public Administration (Q2)"
38;50039;"Review of Policy Research";journal;"1541132X, 15411338";0,698;Q2;40;39;105;2708;219;99;2,15;69,44;United Kingdom;"Blackwell Publishing Inc.";"1981-1995, 2002-ongoing";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
39;20960;"Science and Public Policy";journal;"03023427, 14715430";0,695;Q2;55;66;190;3881;309;187;1,48;58,80;United Kingdom;"Oxford University Press";"1978-1982, 1985-1986, 1988-ongoing";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
40;21100208044;"Policy and Internet";journal;"19442866";0,689;Q2;17;25;69;1537;223;64;2,85;61,48;United Kingdom;"John Wiley and Sons Ltd";"2012-ongoing";"Computer Science Applications (Q2); Health Policy (Q2); Health (social science) (Q2); Public Administration (Q2)"
41;21100427853;"Politics and Governance";journal;"21832463";0,683;Q2;9;43;146;2196;182;129;1,46;51,07;Portugal;"Cogitatio Press";"2013-ongoing";"Sociology and Political Science (Q1); Public Administration (Q2)"
42;25468;"Public Personnel Management";journal;"00910260";0,663;Q2;38;33;67;2228;120;64;1,31;67,52;United States;"SAGE Publications Inc.";"1973, 1982-1984, 1989, 1993, 1995-ongoing";"Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Public Administration (Q2); Strategy and Management (Q2)"
43;21100320408;"Human Service Organizations Management, Leadership and Governance";journal;"2330314X, 23303131";0,644;Q2;9;35;128;1804;164;102;1,27;51,54;United Kingdom;"Taylor and Francis Ltd.";"2014-ongoing";"Sociology and Political Science (Q1); Health (social science) (Q2); Public Administration (Q2); Strategy and Management (Q2)"
44;19200156938;"Transforming Government: People, Process and Policy";journal;"17506166";0,644;Q2;32;13;89;899;202;86;2,07;69,15;United Kingdom;"Emerald Group Publishing Ltd.";"2007-ongoing";"Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Public Administration (Q2)"
45;15381;"Public Administration and Development";journal;"02712075";0,637;Q2;38;16;78;1179;125;76;0,96;73,69;United States;"Wiley-Blackwell";"1981-ongoing";"Development (Q2); Public Administration (Q2)"
46;100147337;"Journal of Education and Work";journal;"13639080";0,635;Q2;28;47;138;2287;206;133;1,45;48,66;United Kingdom;"Carfax Publishing Ltd.";"2005-ongoing";"Education (Q2); Organizational Behavior and Human Resource Management (Q2); Public Administration (Q2)"
47;14573;"Social Policy and Administration";journal;"01445596, 14679515";0,626;Q2;56;105;171;5205;302;168;1,65;49,57;United Kingdom;"Blackwell Publishing Inc.";"1967-ongoing";"Development (Q2); Public Administration (Q2); Social Work (Q2); Sociology and Political Science (Q2)"
48;15725;"Voluntas";journal;"09578765, 15737888";0,610;Q2;41;131;362;7416;568;335;1,60;56,61;United States;"Kluwer Academic/Plenum Publishers";"1990-ongoing";"Business and International Management (Q1); Geography, Planning and Development (Q2); Public Administration (Q2); Sociology and Political Science (Q2); Strategy and Management (Q2)"
49;20053;"International Journal of Public Sector Management";journal;"09513558";0,573;Q2;48;50;120;3327;290;117;2,10;66,54;United Kingdom;"Emerald Group Publishing Ltd.";"1989-1991, 1993-ongoing";"Political Science and International Relations (Q1); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)"
50;17181;"Public Money and Management";journal;"14679302, 09540962";0,561;Q2;43;99;270;2624;311;225;1,32;26,51;United Kingdom;"Taylor & Francis";"1988-ongoing";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q2); Sociology and Political Science (Q2)"
51;14789;"Information Technology for Development";journal;"02681102";0,559;Q2;29;46;131;2414;296;107;2,60;52,48;United Kingdom;"Taylor & Francis";"1986-1990, 1995-1996, 1998-2000, 2003, 2008-ongoing";"Computer Science Applications (Q2); Development (Q2); E-learning (Q2); Public Administration (Q2)"
52;21100258637;"Administratie si Management Public";journal;"15839583";0,535;Q2;9;20;42;770;167;42;5,13;38,50;Romania;"Academy of Economic Studies from Bucharest";"2013-ongoing";"Public Administration (Q2); Sociology and Political Science (Q2)"
53;29258;"Public Finance Review";journal;"10911421";0,510;Q2;28;47;99;1462;72;91;0,58;31,11;United States;"SAGE Publications";"1973-1987, 1989-ongoing";"Economics and Econometrics (Q2); Finance (Q2); Public Administration (Q2)"
54;20499;"Canadian Public Policy/ Analyse de Politiques";journal;"03170861";0,495;Q2;29;32;124;1422;129;120;0,82;44,44;Canada;"University of Toronto Press";"1978-1980, 1984, 1989-ongoing";"Public Administration (Q2); Sociology and Political Science (Q2)"
55;21995;"Contemporary Economic Policy";journal;"14657287, 10743529";0,475;Q2;43;59;149;1922;179;144;1,17;32,58;United Kingdom;"Blackwell Publishing Inc.";"1982-ongoing";"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Public Administration (Q2)"
56;5700168589;"Public Budgeting and Finance";journal;"02751100";0,472;Q2;27;20;72;870;65;69;0,72;43,50;United States;"Wiley-Blackwell";"1981-1995, 2008-ongoing";"Economics and Econometrics (Q2); Finance (Q2); Public Administration (Q2)"
57;16511;"Australian Journal of Public Administration";journal;"03136647";0,443;Q2;36;78;125;3565;173;119;1,45;45,71;United Kingdom;"Blackwell Publishing Inc.";"1937-ongoing";"Public Administration (Q2); Sociology and Political Science (Q2)"
58;4700151710;"International Journal of Public Administration";journal;"15324265, 01900692";0,429;Q2;28;146;315;8079;356;307;1,01;55,34;United States;"Marcel Dekker Inc.";"1979-1995, 2006-ongoing";"Business and International Management (Q2); Public Administration (Q2)"
59;4700152763;"Public Services Quarterly";journal;"15228959";0,408;Q2;12;24;102;246;39;85;0,41;10,25;United States;"Haworth Press Inc.";"2002-2003, 2006-ongoing";"Library and Information Sciences (Q2); Public Administration (Q2); Accounting (Q3)"
60;17201;"Canadian Public Administration";journal;"00084840";0,401;Q2;22;49;90;1797;98;86;1,05;36,67;United States;"Wiley-Blackwell";"1958-ongoing";"Public Administration (Q2); Sociology and Political Science (Q2)"
61;200147129;"Cato Journal";journal;"02733072";0,398;Q2;25;32;109;754;72;104;0,59;23,56;United States;"Cato Institute";"1996-2002, 2004-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Public Administration (Q2)"
62;4700152730;"Journal of Community Practice";journal;"15433706, 10705422";0,393;Q2;28;31;86;1060;66;73;0,73;34,19;United States;"Haworth Press Inc.";"1994-ongoing";"Development (Q2); Public Administration (Q2); Sociology and Political Science (Q2)"
63;21100836179;"Asia and the Pacific Policy Studies";journal;"20502680";0,381;Q2;9;50;138;2341;153;133;1,28;46,82;United Kingdom;"John Wiley and Sons Ltd";"2014-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2); Public Administration (Q2); Sociology and Political Science (Q2); Strategy and Management (Q2)"
64;21385;"Canadian Journal of Administrative Sciences";journal;"08250383";0,357;Q3;42;77;91;4096;83;75;0,94;53,19;United States;"Wiley-Blackwell";"1984-1990, 1996-ongoing";"Business and International Management (Q2); Management of Technology and Innovation (Q3); Marketing (Q3); Public Administration (Q3)"
65;19900191584;"The Journal of Poverty and Social Justice";journal;"17598273, 17598281";0,357;Q3;12;26;61;1161;75;57;1,63;44,65;United Kingdom;"The Policy Press";"2010-ongoing";"Sociology and Political Science (Q2); Public Administration (Q3)"
66;5800169158;"Public Works Management and Policy";journal;"1087724X";0,341;Q3;21;30;71;942;56;59;1,15;31,40;United States;"SAGE Publications";"1996-ongoing";"Business, Management and Accounting (miscellaneous) (Q2); Sociology and Political Science (Q2); Public Administration (Q3)"
67;19700201800;"Journal of Integrated Care";journal;"14769018, 20428685";0,329;Q3;16;38;87;1232;69;81;0,78;32,42;United Kingdom;"Emerald Group Publishing Ltd.";"1996-ongoing";"Sociology and Political Science (Q2); Health (social science) (Q3); Public Administration (Q3)"
68;19900191542;"Rivista Italiana di Politiche Pubbliche";journal;"17221137";0,322;Q3;4;10;50;545;22;50;0,61;54,50;Italy;"Carocci Editore";"2015-ongoing";"Sociology and Political Science (Q2); Public Administration (Q3)"
69;21100301442;"International Journal of Electronic Governance";journal;"17427509";0,318;Q3;13;23;52;991;45;47;0,69;43,09;Switzerland;"Inderscience Publishers";"2007-ongoing";"Sociology and Political Science (Q2); Computer Science Applications (Q3); Public Administration (Q3)"
70;17600155342;"Lex Localis";journal;"15815374";0,311;Q3;10;49;145;2075;93;145;0,62;42,35;Slovenia;"Institut za Lokalno Samoupravo in Javna Narocila";"2009-ongoing";"Law (Q2); Public Administration (Q3)"
71;21100215947;"Homeland Security Affairs";journal;"1558643X";0,309;Q3;5;9;24;378;9;22;0,33;42,00;United States;"Naval Postgraduate School Center for Homeland Defense and Security";"2012-ongoing";"Law (Q2); Public Administration (Q3); Safety Research (Q3)"
72;12100156347;"Journal of Public Procurement";journal;"15350118";0,309;Q3;10;20;44;1279;37;44;0,86;63,95;United Kingdom;"Emerald Group Publishing Ltd.";"2012-ongoing";"Public Administration (Q3)"
73;11600153707;"Journal of Public Budgeting, Accounting and Financial Management";journal;"10963367";0,303;Q3;7;24;49;1348;18;48;0,39;56,17;United Kingdom;"Emerald Group Publishing Ltd.";"2011-ongoing";"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q3); Finance (Q3); Public Administration (Q3); Strategy and Management (Q3)"
74;12871;"Federal Register";journal;"00976326";0,299;Q3;45;546;2120;285;423;1201;0,41;0,52;United States;"U.S. Office of the Federal Register";"1973-ongoing";"Law (Q2); Public Administration (Q3)"
75;4700152505;"Journal of Education Finance";journal;"00989495";0,298;Q3;13;41;129;398;28;74;0,47;9,71;United States;"Institute for Educational Finance";"2005-ongoing";"Education (Q3); Finance (Q3); Public Administration (Q3)"
76;17600155220;"Geneses";journal;"11553219";0,288;Q3;19;32;106;1311;31;99;0,43;40,97;France;"Editions Belin";"2000-ongoing";"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2); Public Administration (Q3)"
77;21100802686;"Risk, Hazards and Crisis in Public Policy";journal;"19444079";0,277;Q3;4;25;29;1542;39;29;1,34;61,68;United States;"John Wiley and Sons Inc.";"2016-ongoing";"Public Administration (Q3)"
78;29555;"Journal of Housing for the Elderly";journal;"02763893";0,275;Q3;21;31;72;1020;76;71;1,15;32,90;United States;"Haworth Press Inc.";"1983-1995, 1997, 1999, 2001-ongoing";"Gerontology (Q3); Public Administration (Q3); Life-span and Life-course Studies (Q4)"
79;10800153306;"Revista de Administracao Publica";journal;"19823134, 00347612";0,269;Q3;13;68;177;3026;60;163;0,35;44,50;Brazil;"Escola Brasileira de Administracao Publica da Fundacao Getulio Vargas";"2007-ongoing";"Public Administration (Q3)"
80;19700170065;"Journal of Asian Public Policy";journal;"17516242, 17516234";0,267;Q3;9;36;73;1670;51;62;0,74;46,39;United Kingdom;"Routledge";"2010-ongoing";"Public Administration (Q3); Sociology and Political Science (Q3)"
81;21100208061;"NISPAcee Journal of Public Administration and Policy";journal;"13379038, 13384309";0,267;Q3;7;20;60;737;34;60;0,54;36,85;Germany;"de Gruyter";"2009-ongoing";"Public Administration (Q3)"
82;12100157240;"Journal of Public Affairs";journal;"14723891";0,266;Q3;16;79;129;3093;100;107;0,86;39,15;United States;"Wiley-Blackwell";"2008-ongoing";"Political Science and International Relations (Q2); Public Administration (Q3)"
83;23442;"Politics and the Life Sciences";journal;"14715457, 07309384";0,265;Q3;17;26;49;1500;26;40;0,52;57,69;United Kingdom;"Cambridge University Press";"1983-1984, 1986-ongoing";"Social Sciences (miscellaneous) (Q2); Public Administration (Q3); Sociology and Political Science (Q3)"
84;19900191746;"Asia-Pacific Journal of Business Administration";journal;"17574331, 17574323";0,259;Q3;12;14;47;1032;56;47;1,13;73,71;United Kingdom;"Emerald Group Publishing Ltd.";"2009-ongoing";"Business, Management and Accounting (miscellaneous) (Q3); Public Administration (Q3)"
85;21100200653;"Information Polity";journal;"18758754, 15701255";0,257;Q3;31;29;64;1445;125;60;1,71;49,83;Netherlands;"IOS Press";"2002-ongoing";"Communication (Q3); Geography, Planning and Development (Q3); Information Systems (Q3); Public Administration (Q3); Sociology and Political Science (Q3)"
86;21100855843;"Public Policy and Administration";journal;"16482603, 20292872";0,257;Q3;6;43;129;1253;26;129;0,14;29,14;Lithuania;"Mykolas Riomeris University";"2011-ongoing";"Public Administration (Q3)"
87;19400158612;"International Journal of Public Sector Performance Management";journal;"17411041";0,242;Q3;6;28;37;1452;36;36;1,10;51,86;United Kingdom;"Inderscience Enterprises Ltd.";"2009-ongoing";"Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3); Strategy and Management (Q3)"
88;21100778766;"Public Administration Issues";journal;"19995431, 24095095";0,241;Q3;4;54;98;1452;37;96;0,39;26,89;Russian Federation;"National Research University Higher School of Economics";"2016-ongoing";"Public Administration (Q3)"
89;5600152703;"Journal of Policy Practice";journal;"15588742, 15588750";0,238;Q3;12;0;64;0;36;63;0,57;0,00;United States;"Haworth Press Inc.";"2006-ongoing";"Public Administration (Q3); Sociology and Political Science (Q3)"
90;11600153627;"The Journal of Social Policy Studies/Zhurnal Issledovaniy Sotsial'noy Politiki";journal;"17270634";0,227;Q3;3;48;85;1312;21;78;0,27;27,33;Russian Federation;"National Research University Higher School of Economics";"2016-ongoing";"Public Administration (Q3); Sociology and Political Science (Q3)"
91;21100834354;"International Journal of Human Rights in Healthcare";journal;"20564902, 20564910";0,225;Q3;8;41;81;1872;43;72;0,51;45,66;United Kingdom;"Emerald Group Publishing Ltd.";"2015-ongoing";"Health Policy (Q3); Health (social science) (Q3); Public Administration (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)"
92;21100830426;"Journal of Criminological Research, Policy and Practice";journal;"2056385X, 20563841";0,225;Q3;3;22;72;1273;37;67;0,48;57,86;United Kingdom;"Emerald Group Publishing Ltd.";"2015-ongoing";"Health (social science) (Q3); Law (Q3); Public Administration (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)"
93;21100212700;"RAE Revista de Administracao de Empresas";journal;"00347590";0,222;Q3;11;52;157;2028;124;142;0,84;39,00;Brazil;"Fundacao Getulio Vargas, Escola de Administracao de Empresas de Sao Paulo";"2007-ongoing";"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Education (Q3); Industrial Relations (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3); Strategy and Management (Q3); Management Science and Operations Research (Q4)"
94;11700154729;"International Review of Public Administration";journal;"12294659";0,221;Q3;13;12;71;732;36;68;0,50;61,00;United Kingdom;"Taylor & Francis";"1999-ongoing";"Public Administration (Q3)"
95;21100211748;"Scienze Regionali";journal;"17203929, 2035603X";0,221;Q3;11;27;88;1082;33;65;0,67;40,07;Italy;"Societa Editrice il Mulino";"2012-ongoing";"Urban Studies (Q2); Economics and Econometrics (Q3); Geography, Planning and Development (Q3); Public Administration (Q3); Food Animals (Q4)"
96;21100782676;"Teaching Public Administration";journal;"01447394, 20478720";0,209;Q4;8;19;58;742;35;54;0,68;39,05;United States;"SAGE Publications Inc.";"2014-ongoing";"Education (Q3); Public Administration (Q4)"
97;19700173246;"Academia Revista Latinoamericana de Administracion";journal;"10128255, 20565127";0,199;Q4;9;41;82;2812;54;75;0,53;68,59;United Kingdom;"Emerald Group Publishing Ltd.";"2008-2012, 2016-ongoing";"Business and International Management (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Education (Q3); Public Administration (Q4); Strategy and Management (Q4)"
98;19400158596;"Transylvanian Review of Administrative Sciences";journal;"18422845";0,197;Q4;11;26;110;920;75;110;0,74;35,38;Romania;"Babes-Bolyai University";"2008-ongoing";"Public Administration (Q4); Strategy and Management (Q4)"
99;18165;"International Social Security Review";journal;"0020871X, 1468246X";0,191;Q4;25;24;60;769;36;56;0,56;32,04;United Kingdom;"Blackwell Publishing Inc.";"1967-1995, 2008-ongoing";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3); Public Administration (Q4)"
100;5700162050;"Revue Francaise d'Administration Publique";journal;"01527401";0,190;Q4;13;44;185;1103;25;182;0,13;25,07;France;"Institut International d'administration Publique";"2002-ongoing";"Sociology and Political Science (Q3); Public Administration (Q4)"
101;21100824951;"Revista Brasileira de Politicas Publicas";journal;"22361677, 21798338";0,187;Q4;4;106;82;4545;27;81;0,33;42,88;Brazil;"Centro Universitario de Brasilia";"2017-ongoing";"Public Administration (Q4)"
102;18100156705;"Innovation Journal";journal;"17153816";0,181;Q4;13;5;37;294;24;36;0,94;58,80;Canada;"The Innovation Journal";"2009-ongoing";"Public Administration (Q4)"
103;10600153342;"Society and Economy";journal;"1588970X, 15889726";0,181;Q4;10;43;95;1379;28;89;0,37;32,07;Hungary;"Akademiai Kiado";"2007-ongoing";"Business and International Management (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Industrial Relations (Q3); Sociology and Political Science (Q3); Public Administration (Q4); Strategy and Management (Q4)"
104;19700170105;"Problems and Perspectives in Management";journal;"17277051, 18105467";0,172;Q4;15;154;441;5445;169;441;0,41;35,36;Ukraine;"Business Perspectives";"2013-ongoing";"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Information Systems and Management (Q3); Law (Q3); Sociology and Political Science (Q3); Public Administration (Q4); Strategy and Management (Q4)"
105;3200147702;"Electronic Government";journal;"17407494, 17407508";0,170;Q4;31;22;55;1036;35;54;0,64;47,09;United Kingdom;"Inderscience Publishers";"2006-ongoing";"Computer Science Applications (Q4); E-learning (Q4); Public Administration (Q4)"
106;16835;"Social Security Bulletin";journal;"00377910";0,169;Q4;22;12;31;333;13;31;0,19;27,75;United States;"US Social Security Administration";"1971, 1973-ongoing";"Social Sciences (miscellaneous) (Q3); Public Administration (Q4)"
107;21100244868;"AHURI Final Report";journal;"18347223";0,167;Q4;8;0;24;0;9;24;0,00;0,00;Australia;"Australian Housing and Urban Research Institute";"2008-2015";"Development (Q3); Urban Studies (Q3); Public Administration (Q4)"
108;11600153630;"Innovar";journal;"01215051";0,159;Q4;8;43;153;2175;57;136;0,40;50,58;Colombia;"Universidad Nacional de Colombia";"2008-ongoing";"Sociology and Political Science (Q3); Accounting (Q4); Marketing (Q4); Public Administration (Q4); Strategy and Management (Q4)"
